,name,name_ticker,lenticker,description
14,ABB,ABB,3.0,"ABB Ltd manufactures and sells electrification, industrial automation, and robotics and motion products for customers in utilities, industry and transport, and infrastructure worldwide. Its Electrification segment provides electric vehicle charging infrastructure, renewable power solutions, modular substation packages, distribution automation products, switchboard and panel boards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions for integrating and automating lighting, heating, ventilation, security, and data communication networks. The company's Robotics & Discrete Automation segments provides industrial robots, software, robotic solutions and systems, field services, spare parts, and digital services. This segment also offers solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. Its Industrial Automation segment develops and sells industry-specific, integrated automation, and electrification systems and solutions, as well as digital solutions, lifecycle services, and artificial intelligence applications for the process and hybrid industries. This segment also offers process and discrete control technologies, advanced process control software and manufacturing execution systems, sensing, measurement, analytical instrumentation, electric ship propulsion systems, and large turbochargers, as well as remote monitoring, preventive maintenance, asset performance management, and cybersecurity services. The company's Motion segment manufactures and sells drives, motors, generators, traction converters, and mechanical power transmission products. ABB Ltd has a strategic collaboration with IBM. ABB Ltd was founded in 1883 and is headquartered in Zurich, Switzerland."
15,Abbott Labs,ABT,3.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. It has collaboration agreement with Cereno Scientific AB (publ). The company was founded in 1888 and is based in North Chicago, Illinois."
16,Ablynx,ABLX,4.0,
17,Abtech Holdings,ABHDD,5.0,
19,A.C. Moore,AC.TO,5.0,"Air Canada provides domestic, U.S. transborder, and international airline services. It offers scheduled passenger services under the Air Canada Vacations and Air Canada Rouge brand name in the Canadian market, the Canada-U.S. transborder market, and in the international market to and from Canada, as well as through capacity purchase agreements on other regional carriers. As of December 31, 2020, the company operated a fleet of 169 aircraft under the Air Canada mainline brand name comprising 91 Boeing and Airbus narrow-body aircraft, and 78 Boeing and Airbus wide-body aircraft; 136 aircraft under the Air Canada Express brand name, including 49 Bombardier regional jets, 62 De Havilland Dash-8 turboprop aircraft, and 25 Embraer 175 aircraft; and 39 aircraft under the Air Canada Rouge brand name consisting of 14 Airbus A321 aircraft, 5 Airbus A320 aircraft, and 20 Airbus A319 aircraft. It also provides air cargo services in domestic and U.S. transborder routes, as well as on international routes between Canada and markets in Europe, Asia, South America, and Australia. In addition, the company operates, develops, markets, and distributes vacation travel packages in the Caribbean, Mexico, the United States, Europe, Central and South America, South Pacific, Australia, and Asia; offers cruise packages in North America, Europe, and the Caribbean; and provides travel loyalty programs. Air Canada was founded in 1937 and is headquartered in Saint-Laurent, Canada."
20,Acacia Research,actg,4.0,"Acacia Research Corporation, together with its subsidiaries, intends to acquire undervalued businesses primarily in technology, life sciences, industrial, and financial services segments in the United States. The company also invests in intellectual property and related absolute return assets, as well as engages in the licensing and enforcement of patented technologies. Acacia Research Corporation was incorporated in 1993 and is based in New York, New York."
21,ACADIA Pharmaceuticals,ACAD,4.0,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; Trofinetide, a novel synthetic analog for the treatment of Rett syndrome; ACP-044, a novel first-in-class orally administered non-opioid analgesic for treating acute and chronic pain; and ACP-319, a positive allosteric modulator of the muscarinic receptor for treating cognition and schizophrenia. It is also developing pimavanserin as a treatment for dementia-related psychosis and as an adjunctive treatment for schizophrenia; and pimavanserin as an adjunctive treatment for major depressive disorder. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California."
22,Accelera Innovations,ACNV,4.0,"Accelera Innovations, Inc., a healthcare service company, focuses on the development of Internet-based software in the United States. The company's Accelera Technology, an Internet-based software platform enhances the functionality and performance of healthcare services through making clinical healthcare data available to healthcare consumers. It also provides billing, practice management, and administrative services to doctors and other clinicians, as well as home health services to patients in Chicago. The company was formerly known as Accelerated Acquisitions IV, Inc. and changed its name to Accelera Innovations, Inc. in October 2011. Accelera Innovations, Inc. was founded in 2008 and is based in Colorado Springs, Colorado."
23,Accelerate Diagnostics,AXDX,4.0,"Accelerate Diagnostics, Inc., an in vitro diagnostics company, provides solutions for the diagnosis of serious infections in the United States, Europe, and the Middle East. The company offers Accelerate Pheno system, an in vitro diagnostic platform for the identification and antibiotic susceptibility testing of pathogens associated with serious or health care-associated infections, including gram-positive and gram-negative organisms. It also provides the Accelerate PhenoTest, a test kit for the system, which provides identify and antibiotic susceptibility testing results for patients suspected of bacteremia or fungemia, both life-threatening conditions with high morbidity and mortality risk. The company was formerly known as Accelr8 Technology Corporation and changed its name to Accelerate Diagnostics, Inc. in December 2012. Accelerate Diagnostics, Inc. was founded in 1982 and is headquartered in Tucson, Arizona."
25,Acceleron Pharma,xlrn,4.0,
26,Accentia Biopharmaceuticals Inc,NGM,3.0,"NGM Biopharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery and development of novel therapeutics to treat liver and metabolic diseases, retinal diseases, and cancer. The company's product candidates include Aldafermin, an engineered analog of human hormone fibroblast growth factor 19, which is in Phase IIb clinical trials for the treatment of non-alcoholic steatohepatitis (NASH); and MK-3655, an agonistic antibody that activates fibroblast growth factor receptor 1c-beta-klotho, which is in Phase IIb clinical trial for use in the treatment of type 2 diabetes and NASH. Its products under development also comprise NGM120, an inhibitory antibody binding glial cell-derived neurotrophic factor receptor alpha-like that is in Phase Ib clinical trials to inhibit growth differentiation factor GDF15 levels on cancer anorexia/cachexia syndrome; NGM621, an antibody in Phase II clinical trials for the treatment of geographic atrophy; and NGM707 and NGM438, which are in preclinical investigational studies for the treatment of advanced solid tumors. The company has research collaboration, product development, and license agreements with Merck Sharp & Dohme Corp.; and a collaboration agreement with Merck & Co., Inc. to focus primarily on the development of novel medicines for unmet patient needs in retinal and CVM diseases, including heart failure. NGM Biopharmaceuticals, Inc. was incorporated in 2007 and is headquartered in South San Francisco, California."
27,Acco Brands,ACCO,4.0,"ACCO Brands Corporation designs, manufactures, and markets consumer, school, technology, and office products. It operates through three segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The company provides computer and gaming accessories, calendars, planners, dry erase boards, school notebooks, and janitorial supplies; storage and organization products, such as three-ring and lever-arch binders, sheet protectors, and indexes; laminating, binding, and shredding machines; writing instruments and art products; stapling and punching products; and do-it-yourself tools. It offers its products under the AT-A-GLANCE, Barrilito, Derwent, Esselte, Five Star, Foroni, GBC, Hilroy, Kensington, Leitz, Marbig, Mead, NOBO, PowerA, Quartet, Rapid, Rexel, Swingline, Tilibra, TruSens, Spirax, and Wilson Jones brand names. The company markets and sells its products through various channels, including mass retailers; e-tailers; discount, drug/grocery, and variety chains; warehouse clubs; hardware and specialty stores; independent office product dealers; office superstores; wholesalers; contract stationers; and technology specialty businesses, as well as sells products directly to commercial and consumer end-users through its e-commerce platform and direct sales organization. ACCO Brands Corporation was founded in 1893 and is headquartered in Lake Zurich, Illinois."
28,AcelRx Pharmaceuticals,ACRX,4.0,"AcelRx Pharmaceuticals, Inc., a specialty pharmaceutical company, focuses on the development and commercialization of therapies for the treatment of acute pain. The company's lead product candidate is DSUVIA, a 30 mcg sufentanil sublingual tablet for the treatment of moderate-to-severe acute pain. It also develops ZALVISO, a pre-programmed and patient-controlled analgesia system that allows hospital patients with moderate-to-severe acute pain to self-dose with sufentanil sublingual tablets to manage their pain. The company was formerly known as SuRx, Inc. and changed its name to AcelRx Pharmaceuticals, Inc. in August 2006. AcelRx Pharmaceuticals, Inc. was founded in 2005 and is based in Hayward, California."
29,Achaogen,AKAOQ,5.0,
30,Achillion Pharmaceuticals,ACHN,4.0,"Achison Inc. focuses on operating online advertising business through www.dazhong368.com in the New York area, the United States. Its Website advertises various markets for professional individuals or companies, including real estate, services, accounting, and legal. The company was founded in 2014 and is based in Flushing, New York."
31,Aclaris Therapeutics,ACRS,4.0,"Aclaris Therapeutics, Inc. is a clinical-stage biopharmaceutical company developing a pipeline of novel, small molecule therapeutics to address the needs of patients with immuno-inflammatory diseases. The company has a multi-stage portfolio of drug candidates powered by a research and development engine exploring protein kinase regulation. Its products pipeline includes ATI-450, an investigational oral, novel, small molecule selective MK2 inhibitor compound, which is being developed as a treatment for moderate to severe rheumatoid arthritis and additional immuno-inflammatory diseases; ATI-1777, an investigational topical soft JAK 1/3 inhibitor compound, which is being developed as a treatment for moderate to severe atopic dermatitis; and ATI-2138, an investigational oral ITK/TXK/JAK3 inhibitor compound, which is being developed as a treatment for psoriasis and/or inflammatory bowel disease. It also provides contract research services. The company was incorporated in 2012 and is headquartered in Wayne, Pennsylvania."
32,Acorda Therapeutics,acor,4.0,"Acorda Therapeutics, Inc., a biopharmaceutical company, develops and commercializes therapies for neurological disorders in the United States. The company markets Ampyra (dalfampridine), an oral drug to improve walking in patients with multiple sclerosis (MS); Selincro for the treatment of alcohol dependence; and Inbrija for the treatment of OFF periods in Parkinson's disease in Europe. It also markets Ampyra as Fampyra in Europe, Asia, and the Americas. In addition, the company develops ARCUS product for the treatment of acute migrain; rHIgM22, which has completed Phase I clinical trial for the treatment of MS; and Cimaglermin alfa for heart failure patients. The company has collaboration and license agreement with Biogen Inc. for the development and commercialization of Ampyra. Acorda Therapeutics, Inc. was incorporated in 1995 and is headquartered in Ardsley, New York."
33,Acorn International,ACINX,5.0,"The investment seeks long-term capital appreciation.  The fund invests at least 75% of its net assets in foreign companies in developed markets and in emerging markets. It invests a majority of its net assets in the common stock of small- and mid-sized companies with market capitalizations generally in the range of market capitalizations in the MSCI ACWI ex USA SMID Cap Growth Index (Net), the fund&#39;s primary benchmark, (the Index) at the time of purchase."
34,ACS Global,AMCY,4.0,"ACS Global, Inc. engages in the collection, processing, and long-term storage of stem cells. The company's services would allow individuals to privately preserve their stem cells for potential future use in cell therapy. The company was formerly known as American CryoStem Corp. and changed its name to ACS Global, Inc. in June 2011. The company is based in Red Bank, New Jersey."
35,Actinium Pharmaceuticals,atnm,4.0,"Actinium Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, focuses on developing and commercializing therapies for bone marrow transplant (BMT) or a type of cellular therapy, and for other adoptive cell therapies. Its lead product candidate, I-131 apamistamab (Iomab-B) that is in a pivotal Phase III clinical trial for elderly relapsed or refractory acute myeloid leukemia trial for BMT conditioning; and a Phase I study with a CD19 CAR T-cell therapy with memorial sloan kettering cancer center. The company is also developing a multi-disease, multi-target pipeline of clinical-stage antibody radiation-conjugates targeting the antigens CD45 and CD33 for targeted conditioning and as a therapeutic either in combination with other therapeutic modalities or as a single agent for patients with a range of hematologic malignancies, including acute myeloid leukemia, myelodysplastic syndrome, and multiple myeloma. Actinium Pharmaceuticals, Inc. has research collaboration with Astellas Pharma, Inc. to develop targeted radiotherapies using its Antibody Warhead Enabling technology platforms. The company was founded in 2000 and is based in New York, New York."
36,Actions Semiconductor,ON,2.0,"ON Semiconductor Corporation, together with its subsidiaries, manufactures and sells semiconductor components for various electronic devices worldwide. The company operates in three segments: Power Solutions Group (PSG), Advanced Solutions Group (ASG), and Intelligent Sensing Group (ISG). The PSG segment offers analog, discrete, module, and integrated semiconductor products for various applications, such as power switching, power conversion, signal conditioning, circuit protection, signal amplification, and voltage regulation functions. The ASG segment designs and develops analog, mixed-signal, logic, ASSPs and ASICs, Wi-Fi, and power solutions. It also provides trusted foundry and design services for government customers; and manufacturing services. The ISG segment offers complementary metal oxide semiconductors image sensors; proximity sensors; image signal processors; single photon detectors, including SiPM and SPAD arrays; radars; and actuator drivers for autofocus and image stabilization for a range of customers in automotive, industrial, medical, aerospace/defense, communications, networking, wireless, consumer, and computing markets. The company serves original equipment manufacturers, distributors, and electronic manufacturing service providers. ON Semiconductor Corporation was incorporated in 1992 and is headquartered in Phoenix, Arizona."
37,Acura Pharmaceuticals,acur,4.0,"Acura Pharmaceuticals, Inc., an innovative drug delivery company, engages in the research, development, and commercialization of technologies and products to address safe use of medications in the United States. It offers Oxaydo tablets, a Schedule II narcotic indicated for the management of acute and chronic moderate to severe pain; and Nexafed products, which are pseudoephedrine and acetaminophen tablets that are used as nasal decongestants in various non-prescription and prescription cold, sinus, and allergy products. The company has six additional opioid products in various stages of formulation development. Acura Pharmaceuticals, Inc. has collaboration and license agreements with Egalet US, Inc.; and Egalet Ltd. to manufacture and commercialize Oxaydo products worldwide; and development and commercialization agreement with Abuse Deterrent Pharma, LLC to develop LTX-03, an immediate-release tablets utilizing LIMITx technology. The company was incorporated in 1935 and is based in Palatine, Illinois."
38,Acusphere,ACUS,4.0,"Acusphere, Inc. operates as a specialty pharmaceutical company that develops and commercializes cardiovascular drugs. It offers Imagify (perflubutane polymer microspheres), a cardiovascular drug that evaluates myocardial perfusion and detects coronary artery disease. It provides Imagify as an injectable suspension. The company was formerly known as Polymers For Medicine, Inc. and changed its name to Acusphere, Inc. in March 2004. Acusphere, Inc. was founded in 1993 and is based in Watertown, Massachusetts."
39,Adamas Pharmaceuticals,adms,4.0,
40,Adamis Pharmaceuticals,ADMP,4.0,"Adamis Pharmaceuticals Corporation, a specialty biopharmaceutical company, develops and commercializes products in the therapeutic areas of allergy and respiratory disease in the United States. The company's product candidates comprise Symjepi Injection pre-filled syringe (PFS) for use in the emergency treatment of acute allergic reactions, including anaphylaxis; dry powder inhaler products consisting of fluticasone for the treatment of asthma; beclomethasone, a metered dose inhaler product for the asthma; and naloxone injection product candidates for the treatment of opioid overdose. It also offers APC400, a tempol gel use of reducing radiation dermatitis in patients undergoing treatment for cancer; and APC410 for the treatment of respiratory diseases, including asthma, respiratory syncytial virus, influenza, and COVID-19. In addition, the company provides corticosteroids, hormone replacement therapies, hospital outsourcing products, injectables, urological preparations, topical compounds for pain, and men's and women's health products; and veterinary pharmaceutical products for animals. Adamis Pharmaceuticals Corporation was founded in 2006 and is headquartered in San Diego, California."
41,Adaptimmune,ADAP,4.0,"Adaptimmune Therapeutics plc, a clinical-stage biopharmaceutical company, focuses on providing novel cell therapies primarily to patients with solid tumors in the United States and the United Kingdom. The company's specific peptide enhanced affinity receptor (SPEAR) T-cell platform enables it to identify cancer targets. It is developing ADP-A2M4 that is in phase II clinical trials with SPEARHEAD-1 for synovial sarcoma and myxoid round cell liposarcoma indications (MRCLS); in phase II clinical trials with SPEARHEAD-2 for patients with head and neck cancer; and in phase I clinical trials for urothelial, melanoma, head and neck, ovarian, non-small cell lung, esophageal and gastric, synovial sarcoma, and MRCLS cancers. The company is also developing ADP-A2AFP, which is in phase I clinical trials for hepatocellular carcinoma; and ADP-A2M4CD8, which is in phase I clinical trial for SPEAR T-cells focusing on treating patients with lung, gastroesophageal, head and neck, and bladder cancers. It has a collaboration and license agreement with GSK; third party collaborations with Noile-Immune Biotech Inc., Alpine Immune Sciences, Inc., and National Center for Cancer Immune Therapy in Denmark; strategic alliance agreement with the MD Anderson Cancer Center; and co-development and co-commercialization agreement with Universal Cells, Inc. Adaptimmune Therapeutics plc also has a strategic collaboration and license agreement with Genentech, Inc. to develop and commercialize allogeneic cell therapies to treat various oncology indications. The company was founded in 2008 and is headquartered in Abingdon, the United Kingdom."
42,"Adaptive Medias, Inc.",ADTM,4.0,"Adaptive Medias, Inc., a programmatic audience and content monetization company, provides digital video and mobile solutions for Website owners, app developers, and video publishers for optimize content through advertising. The company provides programmatic and real time bidding advertising solutions across mobile, video, and display, as well as a business-to-business digital video content management platform SaaS. Its platform provides a video player for publishers to offer supplement video libraries. The company provides a foundation for publishers and developers to engage brand advertisers through a multi-channel approach that delivers ads in various devices. The company was formerly known as Mimvi, Inc. and changed its name to Adaptive Medias, Inc. in November 2013. Adaptive Medias, Inc. was founded in 2007 and is headquartered in Irvine, California."
44,Addex Therapeutics,ADXN,4.0,"Addex Therapeutics Ltd, a development-stage biopharmaceutical company, discovers, develops, and commercializes small-molecule pharmaceutical products for central nervous system (CNS) disorders in Switzerland. The company focuses on the discovery of oral small molecule allosteric modulators of G-protein coupled receptors. Its lead programs include Dipraglurant for the treatment of Parkinson's disease levodopa-induced dyskinesia, and dystonia; ADX71149 for epilepsy and undisclosed CNS disorders; and GABAB PAM for addiction. It has license and collaboration agreement with Janssen Pharmaceuticals Inc.; Indivior PLC; and The CharcotÂMarieÂTooth Association. The company was formerly known as Addex Pharmaceuticals Ltd and changed its name to Addex Therapeutics Ltd in March 2012. Addex Therapeutics Ltd was founded in 2002 and is headquartered in Geneva, Switzerland."
45,Addus HealthCare,ADUS,4.0,"Addus HomeCare Corporation, together with its subsidiaries, provides personal care services to elderly, chronically ill, disabled persons, and individuals who are at risk of hospitalization or institutionalization in the United States. It operates through three segments: Personal Care, Hospice, and Home Health. The Personal Care segment provides non-medical assistance with activities of daily living. This segment offers services that include assistance with bathing, grooming, oral care, feeding and dressing, medication reminders, meal planning and preparation, housekeeping, and transportation services. The Hospice segment provides palliative nursing care, social work, spiritual counseling, homemaker, and bereavement counseling services for people who are terminally ill, as well as related services for their families. The Home Health segment offers skilled nursing and physical, occupational, and speech therapy for the individuals who requires assistance during an illness or after hospitalization. The company's payor clients include federal, state, and local governmental agencies; managed care organizations; commercial insurers; and private individuals. As of March 9, 2021, the company served consumers through 212 offices located in 22 states. Addus HomeCare Corporation was founded in 1979 and is headquartered in Frisco, Texas."
46,Adeptus Health,ADPTQ,5.0,
48,ADMA Biologics,ADMA,4.0,"ADMA Biologics, Inc., a biopharmaceutical company, develops, manufactures, and markets specialty plasma-derived biologics for the treatment of immune deficiencies and infectious diseases in the United States. It offers BIVIGAM, an intravenous immune globulin product indicated for the treatment of primary humoral immunodeficiency (PI); ASCENIV, an IVIG product for the treatment of PI; and Nabi-HB for the treatment of acute exposure to blood containing Hepatitis B surface antigen and other listed exposures to Hepatitis B. It also develops a pipeline of plasma-derived therapeutics, including products related to the methods of treatment and prevention of S. pneumonia infection for an immunoglobulin. In addition, the company operates source plasma collection facilities. The company sells its products through independent distributors, sales agents, specialty pharmacies, and other alternate site providers. ADMA Biologics, Inc. was founded in 2004 and is headquartered in Ramsey, New Jersey."
49,ADP (Automatic Data Processing),ADP,3.0,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey."
51,Aduro BioTech,news,4.0,
