,name,name_ticker
53875,SpineGuard,ALSGD.PA
53964,Splunk,SPLK
54138,Spotlight Innovation,return-sustainability-spotlight-5-innovation-140108813.html
54177,Spreadtrum Communications,tsinghua-unigroup-announces-offer-buy-111311277.html
54252,Sprylogics International Corp,ihookup-social-add-array-features-144328017.html
54269,SQI Diagnostics,sqd.v
54292,Square,SQ
54452,Staples,spls
54474,Starbucks,SBUX
54516,Startec Global Communications,profile
54618,SteadyMed Therapeutics,UTHR
54666,StemCells,USRM
54673,Stemline Therapeutics,why-stemline-therapeutics-stml-might-133301564.html
54702,Stereotaxis,STXS
54705,SteriGenics International,SHC
54708,STERIS Corporation,STE
54709,Sterling,STL
54724,Stevia First,stevia-first-corp-announces-proprietary-140000690.html
54811,Stonegate Mortgage,stonegate-mortgage-corporation-stockholders-approve-190000771.html
54935,Stratasys,SSYS
54957,restorgenex corp,resx-restorgenex-diffusion-pharma-merge-162000224.html
55126,Archipelago Learning,plato-learning-buy-archipelago-291m-142901668.html
55188,STYLEPIT,sociomantic-labs-advertisings-fastest-growing-083000308.html
55241,Suburban Ostomy Supply Company,SPH
55329,Sun National Bank,NA.TO
55356,Sunesis Pharmaceuticals,SNSS
55364,Sungy Mobile,gomo
55367,Suning,002024.SZ
55393,Sunrun,RUN
55398,Sunshine Heart,sunshine-heart-inc-prices-13-132022233.html
55433,Superconductor Technologies,SCON
55457,Supernus Pharmaceuticals,supn
55465,SuperSonic Imagine,supersonic-imagine-annonce-chiffre-d-160000245.html
55495,Supreme Pharmaceuticals,sprwf
55543,Surgery Partners,SGRY
55545,Surgical Care Affiliates,scai
55557,Surna,srna
55807,SymBio Pharmaceuticals,4582.T
55847,Synacor,sync
55923,Synergy Pharmaceuticals,SNYR
55949,Synta Pharmaceuticals,snta
55988,Sysorex,sysx
56024,T2 Biosystems,ttoo
56047,Tableau,"DATA,PPT"
56322,Tandem Diabetes Care,TNDM
56348,Tangoe,tangoe-introduces-playbook-combat-high-190000740.html
56370,Taomee,6428.TWO
56478,Tarena,TEDU
56479,Targacept,targacept-stops-alzheimers-drug-trial-192839406.html
56481,Targanta Therapeutics,tgtx
56695,TearLab Corporation,TLB.TO
56716,TechFaith Wireless Technology,CNTFY
56769,TechTarget,TTGT
56783,Tecogen,TGEN
56833,Teladoc,TDOC
56848,Telecom Italia,tit.MI
56859,Telefonica,TEF.TI
56907,Telik,telk
56913,Telit Wireless Solutions,TTCNF
56951,Telvent Git,telvent-completes-brand-integration-schneider-144152978.html
56991,Tencent Holdings,TCEHY
57012,Tengion,TNGNQ
57088,Terra Firma Capital Corporation,TII.V
57099,TerraForm Energy,terp
57111,TerraSky,3915.T
57126,TESARO,tsro
57128,Tesco,TSCO.L
57132,Tesla Motors,TSLA
57139,Tessera Technologies,TEB.DE
57173,Tetra Tech,TTEK
57175,TetraLogic Pharmaceuticals,TLOG
57176,Tetraphase Pharmaceuticals,TTPH
57189,Texas Instruments,TXN
57224,Textura,oracle-textura-now-manages-payments-120000454.html
57231,TG Therapeutics,TGTX
57261,The Advisory Board Company,profile
57372,The Dolan Company,profile
57491,The Jacksonville Bank,td-bank-add-more-250-193000867.html
57577,1-Page,finance.yahoo.com
57809,TherapeuticsMD,TXMD
57820,Theravance,tbph
57821,Theravance Biopharma,tbph
57865,TheStreet,STT
57930,ThinkSmart,TSL.L
58043,Threshold Pharmaceuticals,THLD
58194,TiGenix,TIG.BR
58335,TIO Networks,tio-networks-present-ld-micro-140000357.html
58381,Titan Medical,TMDI
58383,Titan Pharmaceuticals,TTNP
58394,TiVo,TIVO
58430,Immune Therapeutics,IMUN
58447,TOBESOFT,079970.KQ
58448,Tobii AB,TOBII.ST
58449,Tobira Therapeutics,tbra
58474,Tokai Pharmaceuticals,TOKTY
58527,Tonix Pharmaceuticals Holding,TNXP
58559,Top Image Systems,acquisition-top-image-systems-kofax-130000615.html
58560,Minds + Machines Group Limited,MMX.L
58645,Toro Energy,toe.ax
58767,TowerJazz,TSEM
58839,TRACON Pharmaceuticals,TCON
58996,Transcept Pharmaceuticals,VRTX
59007,TransEnterix,trxc
59020,Transgenomic,2013-09-24-transgenomic-to-present-at-the-craig-hallum-4th-an.html
59029,Transition Therapeutics,TTHI
59075,TransUnion,TRU
59224,Tremor Video,trmr
59270,Trevena,trvn
59375,Trimble,TRMB
59377,Trimel Pharmaceuticals,ASP.TO
59378,TRINA SOLAR LTD,688599.SS
59384,Trinity Industries,TRN
59491,TriState Capital,TSC
59501,TriVascular,TRIV
59522,TRONICS GROUP,ALTRO.PA
59557,Trubion Pharmaceuticals,REGN
59589,TRUECar,TRUE
59640,Trunkbow,trunkbow-partners-china-unionpay-payment-110404179.html
59643,Trupanion,trup
59706,Trxade Group,meds
59753,TubeMogul,TUBE
59816,Tuniu,TOUR
60022,Twitter,TWTR
60115,U.S. Auto Parts Network,PRTS
60123,U.S. Silica,SLCA
60177,uBid Holdings,QMKR
60191,Ubiquiti Networks,UI
60298,Ulta Beauty,ULTA
60304,Ultimate Software,ultimate-software-agrees-11-billion-135043430.html
60317,Ultragenyx Pharmaceutical,RARE
60319,Ultralife,ULBI
60333,ULURU,ulur
60413,Uni-Pixel,UNXLQ
60445,Unilife Corporation,unilife-corporation-unis-jumps-stock-120903694.html
60470,UniQure,qure
60525,UnitedHealthcare,UNH
60745,UQM Technologies,UQM
60823,UrtheCast,UR.TO
60852,USA Technologies,usat
60941,UTStarcom,utsi
60987,Vaccinogen,the-global-cancer-vaccines-market-181300747.html
61020,Valera Pharmaceuticals,VRCA
61040,ValiRX,val.l
61068,ValueClick,valueclick-divest-o-o-segment-212505917.html
61094,VanceInfo Technologies,VIT
61096,Vanda Pharmaceuticals,vnda
61169,Varonis Systems,VRNS
61246,VBI Vaccines,VBIV
61276,VECTOR INC.,6058.T
61297,Veeco Instruments,VECO
61308,Veeva,VEEV
61361,Velti,velti-one-largest-mobile-ad-193407452.html
61424,VentriPoint Diagnostics,VPT.V
61427,Ventrus Biosciences,VTYX
61482,Veracyte,VCYT
61488,Verastem,VSTM
61552,VeriTeQ Corporation,VTEQ
61562,Verizon Communications,VZ
61563,Verkkokauppa.com,VERK.HE
61565,Vermillion,VET
61585,VersaPay,versapay-pymnts-publish-research-based-120000802.html
61586,Versartis,vsar
61591,Verseon,vrso
61608,Vertex Energy,VTNR
61609,Vertex Pharmaceuticals,VRTX
61614,Vertical Communications,VER
61702,VF Corporation,VFC
61733,ViaCell,VSL
61752,Viamet Pharmaceuticals,viamet-pharmaceuticals-files-ipo-152532428.html
61755,ViaSat,VSAT
61927,ViewCast,VCST
61935,Viewpoint,VIEW
61949,"Viggle, Inc.",VGGL
61982,Viking Therapeutics,vktx
62007,Vimicro International Corporation,vimicro-international-corp-vimc-jumps-105611054.html
62057,Violin Memory,vmem
62065,vip.com,VIPS
62075,Vipshop,VIPS
62128,VirnetX,VHC
62129,Virobay,VBAY
62203,Virtusa,VRTU
62232,Vishay Precision Group,VPG
62267,Vision Sciences,APVS
62276,VisionChina Media Inc,borrelli-walsh-cayman-limited-announces-215701641.html
62309,VistaGen Therapeutics,VTGN
62332,Visualant,2013-09-10-visualant-reveals-chromaid-scanner-featuring-an-ul.html
62356,Vitae Pharmaceuticals,3VP.F
62376,Vital Therapies,vital-therapies-immunic-therapeutics-announce-090000352.html
62459,Vivione Biosciences,vivione-biosciences-inc-announces-agreement-120000071.html
62480,Vixel Corporation,fr.finance.yahoo.com
62559,Vocation,Job
62562,Vocera Communications,VCRA
62566,Vocus Communications,VOC.AX
62571,Vodis Pharmaceuticals,1JV1.SG
62573,vogogo,vogogo-inc-announces-rebrand-cryptologic-110000825.html
62612,Volex,VLX.L
62614,VOLITIONRX,VNRX
62636,Voltari,VLTCP
62654,Vonage,VG
62749,Voyager Therapeutics,VYGR
62785,Vringo,VRNGW
62856,Vuzix,vuzi
62906,WaferGen Biosystems,ttoo
62913,WageWorks,healthequity-completes-acquisition-wageworks-130000279.html
62985,Walvax Biotechnology,300142.sz
63006,WANdisco,wand.l
63072,WashingtonFirst Bankshares,wfbi
63145,Wave Life Sciences,WVE
63188,Wayfair,W
63327,WebEx Communications,CSCO
63328,"Workiva, Inc.",WK
63350,WebMD,webmd-acquired-kkr-cash-deal-110223865.html
63376,WebSideStory,wssi
63377,Website Pros,PRO
63705,Wheeler Real Estate Investment Trust,WHLR
63971,WILEX,0QW5.L
63979,Williams-Sonoma,WSM
64009,Windeln.de,wdl.de
64026,WindStream Technologies,WINMQ
64110,Wireless Ronin Technologies,wireless-ronin-technologies-inc-raises-141500331.html
64215,Wix,WIX
64370,Workday,WDAY
64457,WorldGate Communications,8292.hk
64609,Wynyard Group,fr.finance.yahoo.com
64650,Xactly Corp,xtly
64714,CareDx,CDNA
64727,Xencor,xncr
64735,Xenith Bank,ZENB.L
64739,Xenon Pharmaceuticals,xene
64742,Xenoport,LMW.DE
64750,Xero,XRO.AX
64755,Xerox,XRX
64765,xG Technology,must-know-xg-technology-inc-103509457.html
64808,XING,xing
64832,XL Group,XL
64850,"XO Group, Inc.",xoxo
64896,Xplore Technologies,XPLR
64925,XTENT,XTNT
64954,Xueda Education Group,000526.SZ
64982,XZERES,xzeres-closes-1-5-million-123100629.html
65007,Yahoo!,finance.yahoo.com
65026,Yandex | Ð¯Ð½Ð´ÐµÐºÑ,kji
65140,Yelp,YELP
65220,Ymagis,ymagis-placement-liquidation-%C3%A0-suite-080000347.html
65302,Yoox Group,yoox-net-porter-group-sp-063724491.html
65336,YOU On Demand Holdings,demand-holdings-yod-jumps-stock-055434169.html
65382,Young Innovations,youth-innovation-prize-ingenious-inspires-125500515.html
65386,Youngevity International,YGYI
65491,YuMe,yume
65537,"YY, Inc.",YY
65562,Zafgen,chondrial-therapeutics-zafgen-complete-merger-120010517.html
65587,Zalicus,why-zalicus-zlcs-shares-could-130847743.html
65673,Zayo,ZAYO
65710,Zebra Technologies,ZBRA
65728,zeenworld,cathie-wood-thinks-tesla-will-triple-in-value-but-has-sold-266-million-shares-in-two-weeks
65751,Zeltiq Aesthetics,allergan-buy-fat-fighter-zeltiq-aesthetics-2-48-183332139--finance.html
65769,Zendesk,ZEN
65861,Zero Gravity Solutions,ZGSI
65966,Ziegler,EUZ.DE
66005,Zillow,Z
66051,Zions Bancorporation,ZION
66052,ZIOPHARM Oncology,ZIOP
66088,Ziptel,SKL.AX
66139,Zogenix,zgnx
66182,ZOOM Technologies,ZM
66215,Zoopla,v1
66216,Zooplus,ZO1.DE
66235,Zosano Pharma,ZSAN
66350,Zynerba Pharmaceuticals,ZYNE
66352,Zynga,ZNGA
