Twitter_Account,Tweeted
3dsystems,"Accelerate production across a variety of applications including #medicaldevices and more with our #DMP Flex and Factory 350 Dual printers.

DMP Factory 350 and DMP Factory 350 Dual: https://t.co/au0CWa708s
DMP Flex 350 and DMP Flex 350 Dual: https://t.co/McyEGdrmwl https://t.co/sfVgVRF1KC"
3dsystems,"RT @TheTCTMagazine: ""It's no longer about products. It's about delivering full solutions.""

We catch up with @3dsystems on new 3D printers,…"
58tongcheng,58同城客户端1.0版上线啦！新界面，快捷导航！http://wap.58.com/wap.html http://lockerz.com/s/105065788
58tongcheng,#58同城#期待你的访问。http://www.58.com/
58tongcheng,#58同城#是中国最大的分类信息网站，本地化、自主且免费、真实高效是58同城网的三大特色。其服务覆盖生活的各个领域，提供房屋租售、招聘求职、商家黄页、二手买卖、汽车租售、宠物票务、旅游交友、餐饮娱乐等多种生活信息。
58tongcheng,#58同城#成立于2005年12月12日，总部设在北京，截止至今，58 同城已在天津、上海、广州、深圳、武汉、大连、南京等24个城市成立了分公司，目前已经在379个城市开通分站。
6dglobal,6D is excited to announce our newest partner relationship with @eZSystems ! https://t.co/hDDdbV2aAO https://t.co/9G3ze67Xey
6dglobal,Join us tomorrow to learn how to better support your #digitalgov workflows! Webinar with @AdobeGov &amp; @Carahsoft. https://t.co/QFdENtB7a9
6dglobal,Free AEM Webinar TOMORROW. Register while there's still space! https://t.co/OtexpJjJQg @AdobeExpMgr @ClubAEM
6dglobal,"AEM Webinar Series, next Tuesday at 12 Noon EST. Diving Headfirst into Granite.  Register: https://t.co/OtexpJjJQg @ClubAEM  @AdobeExpMgr"
6dglobal,"New 6D Radio Podcast. This week we talk about ""creative days"" in our Portland office.  https://t.co/4cvUrXVkEC https://t.co/a9UG0EMOc2"
A10Networks,Learn how you can extend the utility of current #IPv4 addresses and bridge the shift from IPv4 to #IPv6 👉 https://t.co/ISl3wWjUAo #ServiceProviders
A10Networks,"You can defend against #DDoS attacks by using sophisticated threat intelligence. Combine that with real-time threat detection, AI and ML capabilities, and more: https://t.co/qWwvati0zz #cybersecurity"
A10Networks,"Correctly implemented, TLS/SSL decryption and inspection makes the #ZeroTrust Model more robust by preventing the entry of malware and the exfiltration of sensitive data: https://t.co/HQXPC6ktVy via @crndotin #SSL"
A10Networks,"Will telco #cloud architecture, used in conjunction with #AI and machine learning, improve network fault and anomaly detection? https://t.co/3nFmIGUw28 via @rcrwirelessnews"
A10Networks,"Investing in #AI without a clear, well-established, and mature #cybersecurity program is like pouring money down the drain. https://t.co/Pd71PYjmum via @CISOMAG https://t.co/Se6jfsGdRy"
A123Systems,"Register for the @PlugVolt Battery Seminar in July 2020 and join us for an evening reception at A123's brand new engineering facility in Novi, MI that will include guided tours from our resident experts and light appetizers and beverages. Register here: https://t.co/z4HV7BWzWN https://t.co/zJwNobv027"
A123Systems,A123 employees got to show off their Halloween spirit and spooktacular costumes this year for the office Halloween costume contest! https://t.co/wXqcu2qfze
A123Systems,A123 Systems cordially participated in both the conference and panel discussion on energy storage systems at the Battery Show in Novi. Click the link below to get a recap of the latest news for A123 Systems: https://t.co/gE8vpJe2t6
A123Systems,A123 Systems had a great turn out at the Battery Show in Novi Michigan this past week! Our booth welcomed conversations with visitors from all over the world to discuss the latest innovations A123 Systems offers. https://t.co/qs8y6HSjy5
A123Systems,A123 Systems is participating in the Energy Storage Systems Panel Discussion. Come see what’s new in the ESS business! https://t.co/Y56d67uA6b
abattis,"We are pleased to provide an update on trading halt and corporate developments. Click the link to read more.

https://t.co/wjbOcw8Pzf https://t.co/emi55HVYJm"
abattis,"RT @ProNaturaBV: After working tirelessly, we are very thrilled to finally announce the launch of our new enhanced website! Now you can eas…"
abattis,"We are happy to announce that we are relaunching the Abattis newsletter in order to stay better connected with our shareholders, complement our news releases and provide cannabis industry highlights as they pertain to the Company. Go to https://t.co/pOYILWmEQ0 to sign up! https://t.co/WbEBRabCFq"
abattis,"We are happy to announce that we are relaunching the Abattis newsletter in order to stay better connected with our shareholders, complement our news releases and provide cannabis industry highlights as they pertain to the Company. Go to https://t.co/8JOu6VOdgl to sign up! https://t.co/t5mStwC8DT"
abattis,"We are pleased to announce that Abattis has closed the acquisition of Pro Natura. Click the link to read more.

https://t.co/wBfL60sbbM…/abattis-announces-successful-closing…/ https://t.co/iZvQa2XJIF"
ABBgroupnews,"Best wishes for 2022 from everyone at #ABB! 
#happynewyear https://t.co/kvpExrkLuA"
ABBgroupnews,"Happy Holidays from everyone at #ABB! 
Thank you for following us this year and we hope to see you again in 2022! 
#ABB #seasonsgreetings #thankyou https://t.co/0VM7XwhGah"
ABBgroupnews,"Highlights of #ABB at #Expo2020 - Last week we joined industry thought-leaders and country dignitaries, in the presence of his Majesty King Carl XVI Gustaf of Sweden, to tackle the challenge of creating a sustainable future for everyone. Watch our video below! 
#sustainability https://t.co/gunl9N17h0"
ABBgroupnews,"Restoring uptime in no time - how #ABB_Ability #technology enabled our experts to help Xianglu Petrochemicals Zhangzhou prevent an outage from stopping production: https://t.co/XfKG0IEN7n
#oilandgas #betterdecisions https://t.co/tj2WXLFNpO"
ABBgroupnews,"ABB expands Installation Products plant in Canada:
➡️CA$16 million investment will create more than 60 new jobs.
➡️Increased production capacity will better meet Canada’s growing demand for safe, smart and sustainable #electrification solutions.
Read more: https://t.co/D3gmqgbZwu https://t.co/f531FLtpEE"
,@realCAMERALERO @MaddySkye Peanut butter and crayon 🤪
,@HenryRamosTV @KENS5 @RShoptaugh 😳
,@sethteel Good work!
,@realCAMERALERO @MaddySkye 😆 one star. Would not recommend.
,"@MaddySkye Thank you, Maddy! Happy New Year! ♥️"
officialacmoore,"A rose by another name would smell as sweet... but this one is on sale 70% off! Visit the #ACMoore store-wide sale for our lowest prices on spring and everyday floral stems and bushes.

Find a store: https://t.co/5V9t9Is27Z. Selection varies by location. https://t.co/bHt5GhrtNR"
officialacmoore,"Two carts, zero judgment 🛒🛒😎 Stock up on shelf-clearing BOGOs on some of your favorite craft supplies like open stock paper, wood shapes, kids' crafts and more!

Find a store: https://t.co/5V9t9IJDwz. Selection varies by locations. https://t.co/osNcP8CAOY"
officialacmoore,"Smells like creativity! Home fragrance and candle warmers are now 80% off original prices at the #ACMoore store-wide sale. 

Find a store: https://t.co/5V9t9Is27Z. Selection varies by location. https://t.co/hxBVe6zqJY"
officialacmoore,"A blank canvas is full of possibilities. ALL art canvas is now 60% off original prices at the #ACMoore store-wide sale! 

Find a store: https://t.co/5V9t9Is27Z. Selection varies by location. https://t.co/COGkhugXjz"
officialacmoore,"The words you've been waiting for: YARN IS ON SALE!! Don't wait to visit the #ACMoore store-wide sale for 50% off original prices on ALL #yarn -- every color, every brand, every size! 🛒🏃‍♀️ https://t.co/Vl3t7AJIoM"
Acacia_Research,Acacia Subsidiaries Enter into Patent License Agreements with HTC Corporation | Business Wire https://t.co/PuBAlPGcyi
Acacia_Research,Acacia Research to Release Third Quarter Financial Results and Host Conference Call | Business Wire https://t.co/wCp0OsLXmp
Acacia_Research,Acacia Subsidiary Enters into Settlement and Patent License Agreement with ASUSTeK Computer Inc. | Business Wire https://t.co/iAm06uz8TQ
Acacia_Research,"#Acacia Subsidiary #Partners with Major Japanese #Semiconductor Manufacturer
https://t.co/ZVl0FasEfy"
Acacia_Research,Acacia Subsidiary Acquires Additional Patents from Renesas Electronics Corporation | Business Wire https://t.co/JLutIoqAhJ
acadiapharma,"2021 has been an incredible year continuing our mission of trailblazing breakthroughs in science to elevate life. Wishing a happy new year to our Acadian family, our advocacy partners, and the patient and caregiver communities we serve. Here’s to a great year ahead in 2022! https://t.co/hlwYgFTLSw"
acadiapharma,Understanding and recognizing non-motor symptoms of #ParkinsonsDisease like hallucinations and delusions can be challenging. It’s important to talk to your specialist when you notice these symptoms. Learn more here: https://t.co/grLSPeAeHZ https://t.co/f0ioVzUo29
acadiapharma,"We announced our plans to resubmit a supplemental New Drug Application (sNDA) to the @US_FDA for hallucinations and delusions associated with Alzheimer’s disease psychosis.

Read more: https://t.co/WVWGAx5wng https://t.co/uZQuv7ZONN"
acadiapharma,"If your loved one is living with #AlzheimersDisease and experiencing hallucinations and delusions, it is important to speak to a doctor about these symptoms. With their help, you may want to consider these tips from the @alzassociation. Learn more: https://t.co/DemMpOXocf https://t.co/guRhusAeFt"
acadiapharma,"There’s nothing more special than sharing stories and making memories with family. Along with @StoryCorps this holiday season, we invite you to share your story to increase understanding of #ParkinsonsDisease. Learn more: https://t.co/GaXSVIBAW3 #YoursTrulyPD https://t.co/zsUiHJtRmr"
axdxnews,"Don't put all your eggs in one basket by relying on rapid molecular methods. You can get fast phenotypic susceptibilities with MICs using the Accelerate PhenoTest® BC kit AST configuration. https://t.co/3aNMxfEcJN

#SaveABX #infectioncontrol #antibioticresistance https://t.co/xP4YRBsVrV"
axdxnews,"Black indigenous people of color at higher risk of incidence and death from severe sepsis. https://t.co/RZO9Uj1Xw4

#sepsis #AMR #antibiotics https://t.co/HS6D6QhmAK"
axdxnews,"Our new Accelerate Arc™ module provides easy automated rapid clean-up of positive blood cultures for direct ID by MALDI-TOF. https://t.co/V0nNMGXLbP

#AMR #SaveABX #infectioncontrol https://t.co/GFMIaPI95t"
axdxnews,"The benefits to your lab are clear--automated workflow &amp; fast results. Equip your clinical team with susceptibilities &amp; MICs sooner for better patient outcomes. https://t.co/ApfyvIxcac

#antibioticresistance #infectioncontrol #IDtwitter https://t.co/v4l8GPOOYx"
axdxnews,Happy Holidays from all of us at Accelerate Diagnostics. https://t.co/CWQ8hlAp5q
acceleronpharma,"At #XLRN we all #CareAboutRare every single day because people with rare diseases are at the heart of everything we do. In honor of the patients we serve, watch part two of the unique reasons why here: https://t.co/Kgm32S73zR 

#MoreThanABiotech
https://t.co/2GisEMvlW4"
acceleronpharma,"A few weeks ago, we were thrilled to help recognize #PHAwarenessMonth by illuminating the Zakim, Burns and Longfellow bridges in Boston and Cambridge in periwinkle! #XLRN #MoreThanRare https://t.co/nu0k2kV2aN"
acceleronpharma,#PHAwarenessMonth #SparkAwareness https://t.co/2CIyCDI78z
acceleronpharma,"Living with #PAH, the biggest challenge for Nola has been practicing how to ask for the help she has always been so good at giving. Learn more about her treatment journey and the advice she has for others who may feel similarly here: https://t.co/0Dg3TUNzYe #MoreThanRare https://t.co/RjwBRXG6na"
acceleronpharma,"The podcast series, PHighter Tess Podcast, is hosted by a #PH patient who documents the challenges of living with this rare disease. To hear about her journey, follow the episodes here: https://t.co/Lyh9gaKMXC #PHAwarenessMonth https://t.co/UwED29CB9z"
achaogen,@Achaogen submits marketing authorization application to #EMA for #plazomicin https://t.co/IAwy5kaSx5
achaogen,We’re wrapping up a great #IDWeek2018 meeting building stronger connections with this incredible community. We move forward energized and mutually committed to tackling #AntibioticResistance
achaogen,Our posters 1964 and 2060 at #IDWeek2018 show what we've learned in our efforts to help address certain gram-negative infections. Come by and see us today! https://t.co/sYIjUnKPoz
achaogen,"#IDWeek2018 Today: Come by our poster sessions (1400, 1345) or booth 909 to learn about the study results for certain gram-negative infections. Schedule: https://t.co/8cyhkHo64f https://t.co/6vAWEI6sVk"
achaogen,"#IDWeek2018 Preview: Come by our poster sessions (1348, 1400, 1345, 1964, 2060) to learn about our efforts to help address certain gram-negative infections. Schedule: https://t.co/8cyhkHo64f https://t.co/3EEfTJEgCH"
AcordaNews,"Acorda CEO @roncohenshair will lead the “Drug Pricing Reform” panel with Congressman Kurt Schrader of Oregon at @CapstoneDC Second Annual Future of Healthcare Policy Virtual Summit on Wednesday, December 8 at 1pm ET.
Email rsvp@capstonedc.com and they will send you a link. https://t.co/s6OgTXrS2z"
AcordaNews,We are proud to present 2 posters (#411 &amp; #439) at this year’s @movedisorder #MDSCongress. These provide additional analysis about an on-demand treatment for people with Parkinson’s who experience a return of PD Symptoms
AcordaNews,"RT @Biotech2050Pod: Listen to @roncohenshair, CEO at @AcordaNews. He shares his storied #career from his beginnings in a small #startup foc…"
AcordaNews,"@ZarelaMartinez Thanks, @ZarelaMartinez. We appreciate it!"
AcordaNews,"@roncohenshair is looking forward to his Keynote interview with @MIT's Dr. Bob Langer, the ""Edison of Medicine,"" this morning at the PODD conf. We'll discuss how his lab produces so many #innovations, Including for @AcordaNews .  #langerlab
 
https://t.co/jk4e5567x0"
cryostem,"American CryoStem Announces Completion of Patient Recruitment for its Post-Concussion Syndrome (PCS) ATCELL™ Phase I Clinical Trial #stemcells #ClinicalTrials 

https://t.co/rF19jytO4a"
cryostem,"American CryoStem Completes Clinical Protocol Design for Long COVID Study #stemcells #covid #clinicalstudy

https://t.co/UP5JAgTbnh"
cryostem,"American CryoStem Announces the addition of John Schwartz, PhD to its Advisory Board

https://t.co/UvfHOHCj60"
cryostem,https://t.co/nQPuEx9WJY
cryostem,"American CryoStem Enters into an Agreement to Exchange Shares held by ACS Global, Inc $CRYO

https://t.co/fdf8JksXnu"
ActiniumPharma,"Actinium Pharmaceuticals, Inc. Reports 2 Remissions and 67% ORR in Patients with a TP53 Mutation in the Phase 1 portion of the Actimab-A Venetoclax Combination Trial in #Patients with Relapsed or Refractory #AML at the 63rd ASH Annual Meeting

https://t.co/1K98Vh8JfD $ATNM #ASH21 https://t.co/E2O7HjbWcI"
ActiniumPharma,"Actinium Pharmaceuticals, Inc. Announces 72% MRD Negativity Rate in the Recently Completed Phase 1 Study of Actimab-A in Combination with CLAG-M for Patients with Relapsed or Refractory #AML

Read the full news release: https://t.co/E4X8XOs40l $ATNM #Oncology #ASH21 #RadioTherapy https://t.co/zrZ5DoghyD"
ActiniumPharma,"Actinium Pharmaceuticals, Inc. Announces Greater Difference of Approximately 5x for Iomab-B vs Control Arm in the Number of #Patients Potentially Evaluable for the Primary Endpoint of the Pivotal Phase 3 SIERRA Trial at the 63rd #ASH21 Annual Meeting https://t.co/h5RivPlkFE $ATNM https://t.co/7w9n3u2pBy"
ActiniumPharma,"Actinium Pharmaceuticals, Inc. Announces Participation in Two Panel Discussions at the 3rd Targeted Radiopharmaceuticals Summit

Read the full news release here: https://t.co/vFHqS50aHQ $ATNM #Radiotherapies #Biopharma https://t.co/Oxy4RFBqMH"
ActiniumPharma,3 weeks away from #ASH21. Multiple abstracts highlighting Iomab-B and Actimab-A clinical programs have been accepted for presentation and we look forward to showcasing our progress this year. https://t.co/bfFeOp0iUb $ATNM #AML #Oncology #Radiotherapy https://t.co/lCIUH6CNOa
buyadmp,Adamis Completes Acquisition of a Technology for a Potential Universal Cancer Vaccine... http://fb.me/TJmbPLwL
buyadmp,Adamis Reports APC-300 Kills Human Pancreatic Cancer Cells... http://fb.me/sPZAE6nQ
buyadmp,ADMP files IND for Prostate Cancer Treatment... http://fb.me/Q2MQPDWa
buyadmp,Adamis Pharmaceuticals Announces Appointment of New Additional Directors... http://fb.me/SA6ZAIPC
buyadmp,Adamis Pharmaceuticals Announces Phase 3 Meets Primary Endpoint... http://fb.me/w02QX9RS
Adaptimmune,We hope everyone will enjoy the end of year holiday season. We will be back on social media in the New Year. https://t.co/6d4HxEDYwt
Adaptimmune,"Do you want to know more about lessons learned from CAR-T that might be useful as new-cell therapies are investigated and potentially soon launched for solid tumors? Find out more in the video below.

#immunotherapy #cancer
https://t.co/kqJFScWDBD https://t.co/DCGLBDWFa3"
Adaptimmune,"Today, our Head of Pipeline Research, Dr. Karen Miller, will take part in the 2021 BioMAN Summit “Technologies to Expand the Reach of Cell &amp; Gene Therapies”, organized by @MIT CBI. She will be talking about our #research to make cell therapy more mainstream. https://t.co/s7zWLQ7yX2"
Adaptimmune,"In this presentation from Luis G. Hidalgo, Director HLA Laboratory, University of Wisconsin, talks about the importance of HLA in patients with #cancer.

#cancer
https://t.co/hd6iGFgHo6 https://t.co/Q7UCOQ1koc"
Adaptimmune,"Do you know someone who may qualify for our Phase 1 SURPASS #clinicaltrial? Click below to learn more.  

#immunotherapy #celltherapy #cancer"
adcarehealth,$ADK AdCare Health Systems Closes $4.1 Million Public Offering of Common Stock http://t.co/vizk0WIP
adcarehealth,"$ADK MissionIR Blog - AdCare Health Systems, Inc. is Successful with Diverse Property Portfolio http://t.co/fBTgcP5R"
adcarehealth,$ADK AdCare Health Systems Prices Public Offering of Common Stock http://t.co/8jJ2Uarn
adcarehealth,"$ADK MissionIR Blog - Firms Line Up Behind AdCare Health Systems, Inc. http://t.co/yb0i3RuS"
adcarehealth,$ADK AdCare Health Systems Acquires Two Skilled Nursing Facilities in Oklahoma http://t.co/qEeVu9XX
addexpharma,including our pivotal study with #dipraglurant in #PDLID #drugdiscovery #dyskinesia #blepharospasm #dystonia #CMT1A #addictiontreatment #epilepsy #ptsdtherapy #mNCD #depression https://t.co/yPlMEXYavA
addexpharma,We are very pleased to announce that we have secured a $10.0 million agreement with Armistice Capital LLC. The funds will enable us to continue advancing our pipeline of clinical and preclinical #allostericmodulators.
addexpharma,"Looking forward to the multiple data readouts expected in 2022! #drugdiscovery #dyskinesia #blepharospasm #dystonia #CMT1A #addictiontreatment #epilepsy #ptsdtherapy #mNCD #depression

https://t.co/iy3tSbnMKg"
addexpharma,"Today we provided an update to our clinical development and earlier-stage pipeline following a successful 2020. This year three of our #allostericmodulation programs advanced in clinical development, including a pivotal study with #dipraglurant #PDLID."
addexpharma,"entered a Phase 2 clinical study for #blepharospasm, a form of dystonia and ADX71149, developed in collaboration with Janssen Pharmaceuticals, Inc., is in a Phase 2a proof of concept clinical trial for #epilepsy. #allostericmodulation https://t.co/cxTynSHERQ"
adestotech,"We have officially joined the @DialogSemi family. We’ll be transitioning away from this account, but you can follow Dialog on Twitter, LinkedIn and Facebook to stay up to date on how we are powering the future of #IIoT. https://t.co/wDQzlOgGEJ https://t.co/jrIzJlUzwB"
adestotech,"Now your system can read code and perform an update in the background with our non-volatile memory feature, Read While Write. #RWW #FasterSystems https://t.co/HzIeiK3Ego"
adestotech,"Long program times can throttle system performance. That's why our non-volatile memory has a Read While Write feature. #RWW

https://t.co/7g4aZkrTBx"
adestotech,"Tomorrow, 8 - 9 am, we're kicking off our webinar series with @LonMarkIntl!

We'll be discussing the need for a common interface layer between #IT and #OT in building automation and industrial control environments. Register here: https://t.co/V67c1zfGxJ https://t.co/ZtaxzE0cwD"
adestotech,"We're collaborating with @LonMarkIntl on a webinar series about advancements in controls and automation technologies! Catch the first talk this Thursday, June 25, 8 AM - 9 AM PDT with Mark Buckland, #IoT Product Marketing at Adesto. #Automation https://t.co/ufd923FS9a https://t.co/jWbzklxtLq"
Adslot,"Great @Forbes interview with Vinh Chung at 
@PenskeMedia on the rise of custom ad units in programmatic &amp; how platforms like @Adslot are helping provide more options &amp; greater efficiencies by plugging directly into publisher ad servers. https://t.co/yCB5tSj9Dr"
Adslot,"""Open exchanges are going back into the rightful position of monetizing lower value, remnant and long-tail inventory."" @Adslot 's GM of NA sits with @Forbes to discuss the shifts in programmatic media spend. https://t.co/8GlSrURQHW #digitalmedia #programmatic #BrandSafety #media"
Adslot,"""@FT started testing @Adslot, which allows salespeople to check the revenue forecast without sending the request to ad ops. The forecasts updated in real time, and buyers got the same level of customer service but the backend became more efficient."" https://t.co/vd8DRtdt2Y"
Adslot,RT @adexchanger: .@FinancialTimes Is Capturing Ad Budgets Of Small Buyers By Automating The Hassle https://t.co/sPpzkp8CMD by @SarahSluis
Adslot,"""The @FT has implemented tech from @Adslot - a platform that automates premium direct buys- that removes a lot of the manual processes sales teams had to use to set up such deals."" #digitalmedia #programmaticmedia #publishing #safety https://t.co/fe9d0QoQCy"
adacap_news,Advanced Accelerator Applications wishes you a happy and healthy holiday season. We express our gratitude to the patients and physicians working with us side by side on new research into the potential for #RadioligandTherapy. #PrecisionMedicine https://t.co/1oT2Qi4niu
adacap_news,We are excited to continue our contribution to the oncology space by leading innovation in #NuclearMedicine and reimagining #CancerCare for patients. https://t.co/UUdYiPCsrF
adacap_news,"RT @NovartisCancer: #RadioligandTherapy (RLT) is a form of precision #NuclearMedicine that can recognize and treat disease. 

It is 1 of 4…"
adacap_news,"RT @NovartisCancer: Nominations are open for the Monica Warner Award! Learn more here: https://t.co/TOCIOfAWMf. 

Submissions are due by Ja…"
adacap_news,"Advanced Accelerator Applications continues to push boundaries
with bold science to address the unmet needs of patients with #ProstateCancer. Learn more. https://t.co/sG6XuLcELY https://t.co/22PnfCnS53"
lunainnovations,"Luna Announces Third Quarter Financial Release Date of November 15, 2021 https://t.co/nGHgFPBk3T"
lunainnovations,"Watch our President and CEO, Scott Graeff, present at the 16th Annual Needham Virtual Technology and Media Conference on Thursday, May 24th at 11:45am. #lunainnovations #FiberOptics #innovation #Technology

https://t.co/Ci17wMXRJp"
lunainnovations,Everyday is Earth Day with Luna's T-Ray Product Series! https://t.co/NhPILAWSOD #lunainnovations #terahertz #TRay #innovation #sustainability #roofing #EarthMonth https://t.co/Phu5Ia4YlE
lunainnovations,"Luna is excited to announce the promotion of Brian Soller to COO of Luna Innovations. Congratulations, Brian! #innovation #leadership #CX #fiberoptics #lunainnovations 
https://t.co/KSUH1YSzxP https://t.co/4HycZNfTCH"
lunainnovations,Happy Earth Day!🌍Luna is proud to support renewable energy with our wind turbine monitoring solutions... https://t.co/sHuT39M16V #lunainnovations #monitoringsolutions #renewableenergy #renewables #sustainability #fiberoptics #windenergy https://t.co/y7H5nRuJoa
advaxis,"$ADXS Stockholders, we need your support on key merger initiatives on December 7, 2021!  If you held shares as of September 17, 2021 management urges you to vote now in favor of all proposals by calling Kingsdale Advisors at 1-888-518-1560 (toll free)."
advaxis,"“Sending a HUGE thank you to our Advaxis Team for our support in donating over 8,000 PPE supplies to the Princeton Medical Center Foundation.  We are more than excited to have played an integral part in helping to save lives.” https://t.co/tKl1sr82Dr"
advaxis,https://t.co/0N3zElYOab
advaxis,https://t.co/Ab3ybGfxjc
advaxis,https://t.co/GE8m4C0eoA
aeriepharma,"From our #VISIONaerie team to yours, we wish you a joyous holiday season and a prosperous new year! https://t.co/K9FAtDLVTr"
aeriepharma,"We are excited to welcome Raj Kannan as Chief Executive Officer and director. Aerie’s next chapter begins December 20, 2021 as Raj takes the helm! https://t.co/H7gtTu6U0C
#ophthalmology #glaucoma #dryeye #retina #pipeline #VISIONaerie https://t.co/gSP2LFSXPb"
aeriepharma,"Last month during @Eyecelerator at #AAO2021, Aerie’s VP of clinical development &amp; medical affairs, Michelle Senchyna, PhD, discussed study results from our PH 2b trial for AR-15512 in #DryEyeDisease with @Healio_OSN. 
https://t.co/EoE7BPJeYz #Ophthalmology #OphthoTwitter"
aeriepharma,We are pleased to announce the expansion of our exclusive agreement with #Santen to include the development and commercialization of our unique glaucoma products in Europe and several other global regions! https://t.co/Cvt0A092sp #ophthalmology #Santenpharmaceutical #netarsudil
aeriepharma,Aerie would like to take a moment to express our gratitude for the #VISIONaerie ophthalmology leaders who never settle for the status quo for patients suffering from #eyedisease. We're inspired by your drive to always be innovating &amp; look forward to continuing our support. https://t.co/pmGFCkD31I
aeropostale,Team fleece or team flannel? Warm answers only #ShareAero https://t.co/rRUQ2XntUc https://t.co/2Zpe7QIOcW
aeropostale,So good we had to double grid ✌️ #ShareAero https://t.co/iErcEnRQcY https://t.co/wyPDfWnwqg
aeropostale,Pairs well with couches and your latest binge-watch #ShareAero https://t.co/7g128mryDo https://t.co/eoOMWivL6C
aeropostale,"New year, same squad #ShareAero https://t.co/rRUQ2XntUc https://t.co/kOUwvFhjzp"
aeropostale,"Sparkle. Shine. Celebrate. This year, it’s all about 20-20-YOU ✨ #ShareAero #NYE https://t.co/1Z4rKFtvm1 https://t.co/fOfsFVU41K"
Agenus_Bio,"Bal/Zal Phase 2 cervical cancer trial results published in Journal of Clinical Oncology; 26% ORR (33% ORR in PD-L1+ patients), mDoR not reached after 21 months of follow-up. 

Click here to read more: https://t.co/GXtb4YcUQO"
Agenus_Bio,"$AGEN has been named to the Boston Business Journal’s list of 2021 Middle Market Leaders, their 50 highest growth middle-market companies in MA. We are thrilled to be nominated and look forward to further growth and progress next year. @BosBizJournal 

https://t.co/k5VYH3Vbvm"
Agenus_Bio,"Rottapharm Biotech Clinical Collaboration: An important step for treatment-resistant colorectal cancer

The 1st patient has been dosed in their Ph 1/2 study of CR6086 combined with balstilimab in advanced CRC.

Read the latest $AGEN newsletter here: https://t.co/nKvT65bOGx"
Agenus_Bio,"@dhanschand, $AGEN Scientific Director Head of Drug Discovery, is speaking today at the 2nd Annual TIGIT Therapies Digital Summit on the panel session “Fc binding for Effector Function: What have we Learnt?” Register to watch at 12:30 PM ET! 

https://t.co/BBAKlXVLGi https://t.co/3rv3r8uhTv"
Agenus_Bio,Tune in today at 1:50PM ET for our fireside chat by @garo_armen and @ODayMD at the annual Evercore ISI HealthCONX Conference: https://t.co/9ZNcch8cR5
agilether,"Agile’s corporate partner and women's health advocate, @CarliLloyd, was recently featured in @YahooLife's well-being series, The Unwind. Check out the full interview:
https://t.co/p2pcgAnwzC"
agilether,"Check out the recent ELLE Magazine interview with Carli Lloyd where she discusses her career, the lessons she learned on and off the field, and life after retirement – including her partnership with Agile Therapeutics:
https://t.co/33zriSsXKF"
agilether,"What does having a birth control method that works for you and your body mean in your life? Join us in saying #ThxBirthControl today and every day and share your birth control stories here: https://t.co/qwrctg8cWS 

$AGRX is a proud sponsor of Thanks, Birth Control 2021. https://t.co/MSlKkPwshQ"
agilether,"We’re officially asking you to save the date: Tuesday, November 17, 2021. Let’s show everyone why birth control is so important! Spread the love and share why you say #ThxBirthControl here: https://t.co/qwrctg8cWS 

Agile is proud to sponsor Thanks, Birth Control 2021. https://t.co/UiSFWald8a"
agilether,Agile Therapeutics is proud to support @NWLC and sponsor and attend this year’s virtual gala as they continue the fight for gender justice! #NWLCGala https://t.co/IN7nmkqlkg https://t.co/3pCZ2rb7KS
agiospharma,Agios will be closed until January 2nd for our annual winter shutdown. We hope everyone has a safe and happy holiday. We look forward to helping more patients in 2021! https://t.co/dqlTjoVDqF
